"LIB_MOD";"CODE_COM";"APL_EHPA";"APL_SAPA"
"Antony";92002;79897.09;799.69
"Asnières-sur-Seine";92004;96916.45;1020.57
"Bagneux";92007;90172.47;895.73
"Bois-Colombes";92009;88976.6;976.35
"Boulogne-Billancourt";92012;97778.47;984.07
"Bourg-la-Reine";92014;88846.77;914.11
"Châtenay-Malabry";92019;92691.8;909.45
"Châtillon";92020;92440.66;887.32
"Chaville";92022;69422.94;754.52
"Clamart";92023;66950.9;709.96
"Clichy";92024;100636.43;1054.43
"Colombes";92025;94786.61;990.11
"Courbevoie";92026;93683.22;914.75
"Fontenay-aux-Roses";92032;81489.09;812.42
"Garches";92033;78007.38;822.01
"La Garenne-Colombes";92035;93843.38;954.14
"Gennevilliers";92036;97861.61;1016.08
"Issy-les-Moulineaux";92040;99873.39;983.14
"Levallois-Perret";92044;96865.57;994.44
"Malakoff";92046;93021.98;941.95
"Marnes-la-Coquette";92047;77359.38;800.4
"Meudon";92048;79468.91;808.91
"Montrouge";92049;104448.97;1003.2
"Nanterre";92050;87454.86;932.34
"Neuilly-sur-Seine";92051;96633.71;951.07
"Le Plessis-Robinson";92060;85502.59;867.89
"Puteaux";92062;84061.82;871.98
"Rueil-Malmaison";92063;74104.81;724
"Saint-Cloud";92064;81341.98;865.84
"Sceaux";92071;81015.24;835.29
"Sèvres";92072;88772.58;907.47
"Suresnes";92073;89892.97;891.69
"Vanves";92075;96697.64;978.62
"Vaucresson";92076;72087.18;707.6
"Ville-d'Avray";92077;73352.74;801.89
"Villeneuve-la-Garenne";92078;96827.26;1016.3
"Aubervilliers";93001;102709.59;988.88
"Aulnay-sous-Bois";93005;83181.7;873.08
"Bagnolet";93006;92733.35;899.75
"Le Blanc-Mesnil";93007;90466.27;887
"Bobigny";93008;97593.71;967.09
"Bondy";93010;96932.78;1032.01
"Le Bourget";93013;98513.56;925.53
"Clichy-sous-Bois";93014;75873.16;897.52
"Coubron";93015;66496.69;748.6
"La Courneuve";93027;106612.56;984.51
"Drancy";93029;95015.06;952.25
"Dugny";93030;82704.07;849.51
"Épinay-sur-Seine";93031;96388.39;985.6
"Gagny";93032;78110.68;857.76
"Gournay-sur-Marne";93033;73982.38;703.83
"L'Île-Saint-Denis";93039;87556.88;958.6
"Les Lilas";93045;97405.8;932.52
"Livry-Gargan";93046;81662.55;935.27
"Montfermeil";93047;63872.16;677.11
"Montreuil";93048;93092.74;911.71
"Neuilly-Plaisance";93049;83841.75;871.47
"Neuilly-sur-Marne";93050;80170.98;843.69
"Noisy-le-Grand";93051;91368.31;967.16
"Noisy-le-Sec";93053;92003.3;946.63
"Pantin";93055;98562.58;925.59
"Les Pavillons-sous-Bois";93057;92677.96;1015.2
"Pierrefitte-sur-Seine";93059;89992.09;887.5
"Le Pré-Saint-Gervais";93061;96879.24;935.47
"Le Raincy";93062;88894.38;964.24
"Romainville";93063;96774.84;921.76
"Rosny-sous-Bois";93064;97056.76;970.87
"Saint-Denis";93066;109527.01;1107.04
"Saint-Ouen-sur-Seine";93070;96686.38;1024.08
"Sevran";93071;68007.48;792.4
"Stains";93072;91880.83;902.2
"Tremblay-en-France";93073;79583.81;803.41
"Vaujours";93074;73054.25;797.82
"Villemomble";93077;93796.96;927.75
"Villepinte";93078;64396.55;747.81
"Villetaneuse";93079;88394.48;919.97
"Ablon-sur-Seine";94001;80736.77;731.69
"Alfortville";94002;90952.04;934.46
"Arcueil";94003;103970.32;1031.06
"Boissy-Saint-Léger";94004;68129.11;560.5
"Bonneuil-sur-Marne";94011;78827.64;854.42
"Bry-sur-Marne";94015;87955.64;896.42
"Cachan";94016;92643.85;990
"Champigny-sur-Marne";94017;76157.45;845.64
"Charenton-le-Pont";94018;95297.77;952.17
"Chennevières-sur-Marne";94019;68251.35;663.68
"Chevilly-Larue";94021;74669.7;861.15
"Choisy-le-Roi";94022;90149.2;902.2
"Créteil";94028;90192.58;930.23
"Fontenay-sous-Bois";94033;89078.35;935.91
"Fresnes";94034;103896.52;975.74
"Gentilly";94037;108624.88;1028.57
"L'Haÿ-les-Roses";94038;99730.65;1017.61
"Ivry-sur-Seine";94041;97481.34;967.07
"Joinville-le-Pont";94042;86314.1;930.7
"Le Kremlin-Bicêtre";94043;90436.56;951.85
"Limeil-Brévannes";94044;67688.94;728.47
"Maisons-Alfort";94046;96124.55;949.57
"Mandres-les-Roses";94047;58036.04;326.76
"Marolles-en-Brie";94048;56756.27;338.37
"Nogent-sur-Marne";94052;87534.58;933.14
"Noiseau";94053;60969.26;442.26
"Orly";94054;88044.95;900.21
"Ormesson-sur-Marne";94055;73711.69;637.79
"Périgny";94056;64216.4;588.2
"Le Perreux-sur-Marne";94058;91508.17;940.38
"Le Plessis-Trévise";94059;66775.88;658.72
"La Queue-en-Brie";94060;76749.61;970.92
"Rungis";94065;98163.69;985.3
"Saint-Mandé";94067;101826.86;969.57
"Saint-Maur-des-Fossés";94068;76821.68;850.02
"Saint-Maurice";94069;102304.72;997.9
"Santeny";94070;56767.84;311.57
"Sucy-en-Brie";94071;67513.85;528.83
"Thiais";94073;94529.33;982.64
"Valenton";94074;67156.07;736.56
"Villecresnes";94075;69416.17;788.96
"Villejuif";94076;104558.04;1021.49
"Villeneuve-le-Roi";94077;86961.9;820.92
"Villeneuve-Saint-Georges";94078;72873.93;735.38
"Villiers-sur-Marne";94079;75237.74;761.87
"Vincennes";94080;94763.28;943.29
"Vitry-sur-Seine";94081;91503.51;928.55
