"LIB_MOD";"CODGEO";"C08_POP15P";"P08_ACT1564";"P08_CHOM1564";"C08_POP15P_CS1";"C08_POP15P_CS2";"C08_POP15P_CS3";"C08_POP15P_CS4";"C08_POP15P_CS5";"C08_POP15P_CS6";"C08_POP15P_CS7";"C08_POP15P_CS8";"C13_POP15P";"P13_ACT1564";"P13_CHOM1564";"C13_POP15P_CS1";"C13_POP15P_CS2";"C13_POP15P_CS3";"C13_POP15P_CS4";"C13_POP15P_CS5";"C13_POP15P_CS6";"C13_POP15P_CS7";"C13_POP15P_CS8";"C18_POP15P";"P18_ACT1564";"P18_CHOM1564";"C18_POP15P_CS1";"C18_POP15P_CS2";"C18_POP15P_CS3";"C18_POP15P_CS4";"C18_POP15P_CS5";"C18_POP15P_CS6";"C18_POP15P_CS7";"C18_POP15P_CS8";"Cadres_2008_%";"Cadres_2013_%";"Cadres_2018_%";"Aturats_2008_%";"Aturats_2013_%";"Aturats_2018_%";"Cad_13_18_%";"At_13_18_%";"CHOM_08_%";"CHOM_13_%";"CHOM_18_%";"CHOM_13_18_%"
"Paris 1er Arrondissement";75101;15479.1670302168;10341.7650354699;883.164656342253;6.15780854674919;811.034746005005;5432.98595160878;2197.88498717783;1673.9404814789;461.51500228588;2377.58317418435;2518.06487892932;15124.719955947;9818.83989885457;949.656597027061;0;780.895050016487;5250.62934854112;2014.84361922997;1670.07590529804;422.18175030581;2712.96958054095;2273.12470201461;14303.2820682557;8947.20858365218;952.523080881375;8.25045670770628;863.114280390827;4545.33367188707;1861.49336224481;1520.67913224442;476.786401709065;2642.88344308727;2384.74131998456;35;35;32;16;15;17;-9;12;9;10;11;10
"Paris 2e Arrondissement";75102;19181.4605598632;13866.8328133866;1411.44919055624;5.82176746711161;773.03794197356;6691.96854870064;3051.68205421791;2243.88343511548;1142.78434523003;2260.4025496862;3011.8799174723;19056.2452007773;14058.8716747646;1561.23362006123;2.4592277405829;866.563665609331;7227.12766736954;2902.92825632637;2149.08978958951;1031.76162112111;2211.570992035;2664.74398098586;18827.5596633632;14086.7995249992;1378.9320404618;6.36985844257356;1107.92637383695;7450.03117962338;2932.37820877116;2081.72356930193;758.05056545824;2090.28739812853;2400.79250980039;35;38;40;16;14;13;6;-6;10;11;10;-9
"Paris 3e Arrondissement";75103;30423.3845809125;21240.929692136;2054.64639813449;9.73479543185896;1183.82100475744;10837.3283832204;4896.31457998578;3451.45200628841;1101.03706324401;4189.7172798426;4753.97946814196;31491.4603650377;21854.3108230813;2406.87099899975;4.57907372106264;1503.29965790682;11608.9586523616;4833.73656709918;3256.67689229414;1095.59785359718;4519.96626084597;4668.64540721175;30129.1631151351;20716.8469132683;2064.05756096066;0;1686.77569177099;10908.847932733;4699.87354624883;3066.93289308865;839.229233728308;4476.87445118596;4450.62936637932;36;37;36;16;15;15;-3;0;10;11;10;-9
"Paris 4e Arrondissement";75104;24821.9470678414;15862.0141180937;1697.05292302283;17.4731559880686;1028.72564572151;8013.09937191036;3675.92071463925;2694.70619098174;735.260607098485;4486.15142831397;4170.60995318802;24274.362311215;15475.0922824934;1622.23784322539;2.9610534318717;1171.78260678308;7874.71743919811;3647.4320729937;2594.61535289623;629.656730342358;4356.82910913514;3996.36794643452;25369.7709049514;16302.3182686493;1807.17590377668;9.20028392783444;1276.87230485401;8326.79714377062;3717.9888780766;2762.88515699319;670.772199833994;4417.38404092959;4187.8708965656;32;32;33;17;16;17;3;6;11;10;11;10
"Paris 5e Arrondissement";75105;55011.9072785437;31462.4220593261;2703.43799837903;22.8635058389071;1486.82550909733;17548.9512280701;6944.36558691675;4770.84003839533;1331.94788753105;10258.6020350277;12647.5114876666;53474.2341242429;30584.8925446453;3074.26959543972;10.0715890496234;1668.99221309095;17230.5304228409;6983.02477847185;4466.61645457312;1237.55289546092;10258.6431625525;11618.802608203;51738.5084786499;28629.6131540993;2618.27236970121;10.1883481120034;1941.21567550115;16644.6970232825;5995.50048629189;4069.78997414561;1151.61058967264;10588.1308428077;11337.3755388364;32;32;32;23;22;22;0;0;9;10;9;-10
"Paris 6e Arrondissement";75106;39270.2580222013;20733.4537338646;1745.22338375291;21.521088346493;1543.39103299794;11595.3474215895;4220.04254319176;3382.1457570579;853.663720146073;7850.69032956644;9803.45612930524;38892.0957864223;20273.7855392792;1873.58954781396;52.0618823115733;1869.09824400138;11462.5924574155;4044.2323154228;3291.52636887896;762.60980666613;8348.69732092469;9061.27739080131;36441.983670183;18635.5297854254;1792.17383183862;20.1876569816557;1845.00037754482;10856.2084848691;3708.19364688855;2687.06888644698;758.424223510113;8123.93469906042;8442.96569488132;30;29;30;25;23;23;3;0;8;9;10;11
"Paris 7e Arrondissement";75107;49835.0726018713;27724.4431744979;2284.95340057113;52.7835336479623;2169.18010167597;14854.5358297567;5174.91659379492;5145.77306425211;1380.37257142308;10094.420040002;10963.0908673186;49069.0207089807;27615.2393910121;2614.37856627633;30.9583245240458;2567.5533613013;15141.7513174794;5236.30234639194;4802.27738197802;1231.55395318845;9851.16359950907;10207.4604246085;44239.3027886593;24523.4943244888;2208.74661481997;18.3220736823157;2616.84435476998;13822.9903229012;4528.29701312615;4090.71940950466;1038.85353279435;9563.79193544342;8559.48414643722;30;31;31;22;21;19;0;-9;8;9;9;0
"Paris 8e Arrondissement";75108;32791.888568008;19716.5462305453;1604.82842951842;28.0459730214328;1772.03859238751;10041.058566265;3443.08403134231;3997.86516672252;986.001012329969;5255.02136929767;7268.77385664159;33466.8606467568;20443.2584307033;1774.64919908586;26.246576990534;1881.82238566037;10533.0893254874;3881.63178266126;3925.89388783987;1012.99963471716;5402.62863370183;6802.54841969837;30974.9427863512;19114.0375905451;1572.78230638949;12.7066349650834;1865.57015622934;10322.3078003535;3524.15597048759;3168.28070976625;995.896731158256;5211.46779927715;5874.55698411403;31;31;33;22;20;19;6;-5;8;9;8;-11
"Paris 9e Arrondissement";75109;50759.5303796229;35000.4896084403;3368.21562920006;28.9227579503426;2119.92185238094;17612.4455638409;7490.41324661292;5957.26128180169;2098.98526216996;7385.24965599444;8066.33075887169;50718.3197940781;35598.8614456273;3608.83905451434;13.4765919432774;2342.59430326738;18476.4897220429;7785.21506180663;5681.07272593231;1838.5678410174;7358.04625021553;7222.85729785264;51596.6157364805;36384.912126362;3444.99852686192;9.60216423634228;2898.71363366262;20597.7906531479;7230.97206699275;4793.07043961872;1672.36010313263;7073.9759421677;7320.1307335218;35;36;40;16;14;14;11;0;10;10;9;-10
"Paris 10e Arrondissement";75110;79966.5298173568;56590.6601697883;7352.74649569457;19.3192975803712;2572.35404078973;22981.3418764441;12959.3388064953;11794.5788634947;6112.80441665633;10701.8485409582;12824.9439749381;77899.4162723946;55585.9623539883;6918.22293067192;3.53030996728629;2979.72671550242;25019.805326875;13117.3807691684;10180.4218120157;4562.59708285661;10312.8357518707;11723.1185041385;75754.7840843926;52739.2644012023;6415.96766889926;10.7801060823176;3057.97418109334;25949.7801573657;11849.4663873638;9014.8710661343;3397.98328386258;10440.7326044975;12033.1962979931;29;32;34;16;15;16;7;6;13;12;12;0
"Paris 11e Arrondissement";75111;133210.271472797;91304.4965703928;10465.1360495795;33.0441255220957;3986.56006979299;39391.1251801816;23553.2117161846;17285.1561533663;7244.14945618224;21078.1252345345;20638.8995370324;134651.838501714;92597.4276390338;10841.2295954864;33.8547365421798;4169.52431132461;42969.4676809836;23344.3870105113;16384.0754051987;6136.58960677361;22105.1705280088;19508.7692223709;128677.507650582;88126.2770682134;9780.88630033417;8.52526740740771;4429.33963523518;44166.3148221808;21642.6700298844;14386.058169918;4825.21074087681;21491.9441471534;17727.4448379264;30;32;34;15;14;14;7;0;11;12;11;-8
"Paris 12e Arrondissement";75112;123829.07645796;80111.8263427901;7093.5307396732;17.0817623081767;2931.88156428324;34907.3439209605;20864.2818346136;16329.3516640042;5504.60750295398;25014.1073054495;18260.4209033867;124246.580674581;81082.6539399782;8310.39410107157;0;3158.22134222226;37052.436337674;20312.6705060887;15855.9267531397;5399.292148009;24260.1121035843;18207.9214838631;121102.674864696;77259.3411843381;8025.51909277315;14.9504989678876;3312.32066107149;36553.2074245334;19236.5512841367;14452.1244417783;4740.98548333541;24307.6023970161;18484.9326738568;28;30;30;15;15;15;0;0;9;10;10;0
"Paris 13e Arrondissement";75113;154462.537506653;96497.6116451243;10408.2440074273;22.3771184830098;3396.58322595898;36411.9682803722;24560.0422683536;23962.4319298969;8680.33378198715;29744.4466878981;27684.3542137032;157438.103192139;95837.480277871;11755.3803604582;13.7866691008717;3594.20069131631;38102.1966370182;23690.8576288486;23259.0869164733;7802.62319508319;32176.4430182882;28798.9084360101;156471.600847338;95000.1648109034;11961.0593524338;29.4756997584656;3929.40208417889;39734.7243728888;22900.5629311692;21808.9746846617;7578.29382526973;31851.112401687;28639.054847724;24;24;25;18;18;18;4;0;11;12;13;8
"Paris 14e Arrondissement";75114;119331.814262581;72051.043676428;6701.33946626844;25.2312083446153;2840.57836010581;33473.1762234227;17314.2128458945;14450.0823317473;4581.80470981813;22560.83375148;24085.8948317684;122944.34326466;73189.7321385604;8299.48779572685;21.7403017456506;3094.99936483064;35094.2035917907;17073.6347822538;14746.5367642686;4338.27092052699;24652.4775427782;23922.4799964656;119400.876114476;70406.4267131762;7795.00076448569;18.0108022880566;3068.94320654676;35909.870746838;15879.7827444447;13177.6970211659;3831.54157676119;24526.8559232274;22988.1740932038;28;29;30;20;19;19;4;0;9;11;11;0
"Paris 15e Arrondissement";75115;202860.622765248;127199.04587647;10833.817733591;43.042642577005;5362.5329812552;62350.382830696;30212.3562695968;23673.661568671;6711.72848558369;39113.1879224437;35393.7300644245;204712.386837758;128092.607483611;12101.3853705746;38.9394102944328;5705.05425441323;65156.2045925167;29594.3434453115;22814.4193019389;6828.83722105911;40525.5823577368;34049.0062544875;200902.381835954;123142.742701528;11883.4882605139;30.1215371679487;5744.91511652656;64860.373778322;27033.7730533626;21696.165264736;6027.24826590461;40899.8813212201;34609.903498714;31;32;32;17;17;17;0;0;9;9;10;11
"Paris 16e Arrondissement";75116;140626.482677734;75295.603067202;6725.45400296473;132.324614152004;6605.51957522206;38655.5212408279;14025.8853489201;14682.5040204392;3425.22320524635;30465.4416923769;32634.0629805491;142629.661206333;75919.7692553276;7720.94709437048;77.7842506372077;7481.79400204265;38591.8101308173;15187.3670605615;14395.6033614281;3441.06047119484;31878.8155635908;31575.4263660608;142284.269053882;77441.2309218465;7384.38028452118;104.879961874691;8002.58514733888;40399.4342695413;15014.6680381148;13977.4302426688;3646.01992687199;30819.2753843456;30319.9760831263;27;27;28;23;22;21;4;-4;9;10;10;0
"Paris 17e Arrondissement";75117;141887.839672646;91765.2811609046;10125.9271060094;68.0961058534877;5132.79614730798;42245.4924030687;20040.2806231958;18428.655394091;6525.91312653331;24943.7237692918;24502.8821033035;144725.408667566;94135.4426664872;10863.7684908674;44.9657468384201;5555.48916726947;44756.6292540248;20799.6248278434;18052.2832763054;6341.52453257031;24977.4260642284;24197.4657984854;142309.155309685;92671.9079253761;10121.8765899068;38.3982439713236;5930.50146515709;47087.7412804765;19926.4010986578;16297.5022207234;5365.85301519243;24178.2664598462;23484.4915256602;30;31;33;17;17;17;7;0;11;12;11;-8
"Paris 18e Arrondissement";75118;166919.991159366;111884.889178362;14755.0330717265;21.7195887977284;4793.56918416389;39035.57170152;27585.3149410414;26803.8601432091;13545.8236296137;26920.6815578508;28213.4504131692;169643.95596;114608.231898977;15671.2374573312;28.5199920766164;5535.65338118767;43233.2188576126;27914.9656814163;25507.6353407177;12661.4481573023;27265.3358147265;27497.1787349604;167287.521291691;113334.366292569;13682.6847447907;38.0342371187078;5569.01586301162;46626.4543006772;27480.4251203212;23782.5567258009;10525.267832884;25394.80177732;27870.9654345576;23;25;28;17;16;17;13;6;13;14;12;-14
"Paris 19e Arrondissement";75119;149961.168094597;96270.0596066905;14723.6403351373;34.8243939583453;4252.9670810464;27093.2616022549;24190.7374275537;27438.4584986211;12525.5849236525;25400.6082827864;29024.725884724;152188.327824484;96705.3877452535;15846.7718547708;1.21442913224862;4595.60343121506;29743.7117154816;24412.1214768289;26269.4967233516;11367.8207877383;26823.8990256264;28974.4602351103;154915.59993698;97405.7745289419;15532.4936011903;25.9794210310285;4631.59262022134;33952.4435356603;23791.3924693514;25044.2792736825;10104.7772467455;27875.1069166091;29490.0284536785;18;20;22;19;19;19;11;0;15;16;16;0
"Paris 20e Arrondissement";75120;162811.607500365;107074.102242599;14566.4678498854;14.2644667088192;4016.08894327838;33853.9766522942;28493.2808716541;27224.4428763561;13054.10910028;28722.6289680081;27432.8156217855;163124.740552242;106590.619352586;16120.3534528757;10.4983775067567;3989.36013213044;35077.7953820181;28470.2856791594;27289.0305739373;11594.8374273377;29617.4424600323;27075.4905201197;166272.621858949;106760.219701875;15339.1472931071;20.0178333473516;4842.08430521192;39567.9967553711;27210.9477796265;25330.627366023;10290.1906936617;30574.4794970545;28436.2776286527;21;22;24;17;17;17;10;0;14;15;14;-7
